title,index
RAND,0
RAND,1
Coronavirus: Fact vs Fiction,2
Coronavirus live updates and news: Cases top 1.2 million globally - CNN,3
WATCH LIVE: Coronavirus task force speaks amid growing death toll - CNN,4
Tracking Covid-19 cases in the US,5
Tracking Covid-19 cases in the US,6
Tracking Covid-19 cases in the US,7
New York City comptroller: President Trump has my mom's blood on his hands - CNN Video,8
How did coronavirus break out? Theories abound as researchers race to solve genetic detective story,9
"Parts of the US will endure a devastating week from coronavirus, health officials say. But there are also glimmers of hope",10
A guide to helping and getting help during the coronavirus crisis,11
Coronavirus: Fact vs Fiction,12
Coronavirus: Fact vs Fiction,13
Trump says this is 'biggest decision' he will make - CNN Video,14
Imagine how many lives could have been saved if Trump took the virus seriously from the start,15
Imagine how many lives could have been saved if Trump took the virus seriously from the start,16
Why senators got angry with Pence on tense phone call - CNN Video,17
Dr. Sanjay Gupta reacts to Dr. Oz's discussion on Fox News about opening schools - CNN Video,18
Obama to mayors on coronavirus: The biggest mistake leaders 'can make in these situations is to misinform',19
What life is like for a doctor at Mount Sinai Hospital - CNN Video,20
Can Cuomo leave isolation? He shares an update on his symptoms - CNN Video,21
Coronavirus live updates: Cases top 1.8 million globally - CNN,22
Coronavirus live updates: Cases top 1.8 million globally - CNN,23
Coronavirus live updates: Cases top 1.8 million globally - CNN,24
US overtakes Italy as country with highest number of coronavirus deaths - CNN,25
"Jake Tapper: Mr President, these questions need answers - CNN Video",26
Heartland hotspots: A sudden rise in coronavirus cases is hitting rural states without stay-at-home orders,27
Heartland hotspots: A sudden rise in coronavirus cases is hitting rural states without stay-at-home orders,28
"What we know about the state of coronavirus treatments, vaccines and antibody tests",29
Trump halts World Health Organization funding over handling of coronavirus outbreak,30
Coronavirus live updates: Japan expected to declare state of emergency - CNN,31
"Covid-19 numbers show promise, but health experts warn each state is a different battleground",32
"Covid-19 numbers show promise, but health experts warn each state is a different battleground",33
"Covid-19 numbers show promise, but health experts warn each state is a different battleground",34
Some state leaders say the decision to reopen after shutdowns will come down to testing,35
Good news on coronavirus makes it harder for Trump to hold the line,36
"Coronavirus live updates: Death toll rises above 150,000 worldwide - CNN",37
"US coronavirus cases top 500,000 as researchers say the worst is yet to come in Texas and Florida",38
Chris Cuomo: I still can't be with my wife even though we both have Covid-19 - CNN Video,39
Chris Cuomo: I still can't be with my wife even though we both have Covid-19 - CNN Video,40
Chris Cuomo: I still can't be with my wife even though we both have Covid-19 - CNN Video,41
Tracking Covid-19 cases in the US,42
Can you get re-infected with coronavirus?,43
Coronavirus live updates: US reaches half a million cases - CNN,44
"Nearly 30% of Americans believe coronavirus was made in a lab, Pew poll shows",45
Coronavirus live updates: Cases surpass 2.1 million globally - CNN,46
Coronavirus news and live updates: Cases surpass 2.1 million globally - CNN,47
New York City comptroller: President Trump has my mom's blood on his hands - CNN Video,48
"Trump says more than 2 million coronavirus tests have been done in the US, and claims mass testing not needed",49
Anonymous donor gives every household in an Iowa town $150 in gift cards for food,50
"As governments fumbled their coronavirus response, these four got it right. Here's how.",51
Tracking Covid-19 cases in the US,52
