content,index
"By Paul Ramchandani
Josie Ford
THE direct impact of covid-19 on children seems to be less severe than on adults, but indirect and hidden consequences will have a lasting effect. The choices we make now can stave off some of the worst of these.
Across much … [+3050 chars]",0
"In the most severe cases of COVID-19, a patients lungs become so inflamed and full of fluid that they no longer deliver enough oxygen to the bloodstream to keep that person alive. One way to counteract this is by using a ventilator, which helps the patients l… [+13252 chars]",1
"A large consignment of testing kits for the novel coronavirus pandemic is scheduled to reach India from China on Thursday, sources have confirmed. The kits are expected to boost Indias testing capacity in a major way as the country aims to ramp up its testing… [+952 chars]",2
"The coronavirus pandemic is cutting into supermarket meat supplies and affecting choices available in meat cases, as meat-plant workers get sick and processors struggle to meet surging demand.
The pandemic is keeping thousands of meat-plant workers home acro… [+272 chars]",3
"By election time, the know-nothing president will need to recast his performance during the ongoing coronavirus pandemic as an unqualified success.
<ol><li>
Donald Trump Threatens to Adjourn Congress Unilaterally in What Would Be an Unprecedented Power Grab… [+5578 chars]",4
"The novel coronavirus outbreak in Spain, which has the second-highest number of confirmed cases in the world and third-highest death toll, has seen the country in lockdown for several weeks now.
The strict measures, some of which were eased earlier this week… [+5974 chars]",5
2020-04-16T13:00:16Z,6
RAND,7
"Hundreds of cases of COVID-19 have been reported within the US Postal Service, and thousands of employees have had to self-quarantine, so some people may be concerned about contracting the coronavirus from a contaminated piece of mail.
But there are several … [+1638 chars]",8
"By Graham Lawton
A London health care worker takes a man from an ambulance.
Justin Setterfield/Getty Images
We know that older people are more vulnerable to covid-19, but another major risk factor has emerged: being male.
The first signs of a sex differen… [+4343 chars]",9
"Earlier this week, Indian Prime Minister Narendra Modi announced the extension of lockdown until May 3 to curb the coronavirus spread. However, new guidelines published by the government suggest that ecommerce companies can start delivering non-essential good… [+2472 chars]",10
"ED registers money laundering case against Tablighi Jamaat chief, others
The Enforcement Directorate (ED) on Thursday registered a money laundering case against Tablighi Jamaat chief Maulana Saad and others under Prevention of Money Laundering Act (PMLA) bas… [+754 chars]",11
"(Reuters) - Even as the Trump administration was struggling to deal with the coronavirus outbreak, it was ramping up efforts to seize land along U.S. southern border to build a wall and fulfill a major campaign promise, a Reuters review of federal court recor… [+2945 chars]",12
RAND,13
"We want to connect people who may have interacted with harmful misinformation about the virus with the truth from authoritative sources in case they see or hear these claims again off of Facebook, Guy Rosen, the companys vice president for integrity, said in … [+2038 chars]",14
"The journalists at BuzzFeed News are proud to bring you trustworthy and relevant reporting about the coronavirus. To help keep this news free,become a memberand sign up for our newsletter,Outbreak Today.
WASHINGTON An inmate at a Louisiana prison was choked … [+9357 chars]",15
"The charts track the total number of confirmed COVID-19 cases and related deaths, and the testing rates across States and U.T.s.
Cases
The charts below shows a progression of coronavirus cases since the first case in a State or U.T.
Tap on the blue line an… [+2323 chars]",16
"A new coronavirus test has the potential to produce results in about 40 minutes, at least six times faster than the test used by the Centers for Disease Control and Prevention (CDC).
Similarly to the tests that are already available, this new one uses data t… [+2497 chars]",17
"Some states are already facing the brunt of the coronavirus pandemic while others are waiting for a surge in the coming weeks, according to projections from researchers.
Depending on which model you're looking at, the national coronavirus peak in the US coul… [+4715 chars]",18
WASHINGTON (AP) The Justice Departments inspector general will conduct remote inspections of Bureau of Prisons facilities to ensure they are following best practices to mitigate the spread of the coronavirus after hundreds of federal inmates tested positive f… [+2705 chars],19
"Hundreds of cases of COVID-19 have been reported within the US Postal Service, and thousands of employees have had to self-quarantine, so some people may be concerned about contracting the coronavirus from a contaminated piece of mail.
But there are several … [+1638 chars]",20
"HuffPost reporters around the world are tracking the pandemic and the measures being taken to flatten the curve of transmission.
Read the latest updates on the coronavirus pandemic below. (To see the latest updates, you may need to refresh the page. All time… [+4887 chars]",21
"(Reuters) - Morgan Stanley (MS.N) posted a 32% fall in quarterly profit on Thursday as the coronavirus pandemic stalled dealmaking and warned that the crisis would continue to weigh on its operations in the coming months. 
The results capped first-quarter ea… [+2756 chars]",22
"“You cannot fight a fire blindfolded, and we cannot stop this pandemic if we don’t know who is infected,” World Health Organization Director-General Tedros Adhanom Ghebreyesus said last month. “We have a simple message for all countries: test, test, test.”
M… [+4812 chars]",23
"The president spent much of his day hosting conference calls with company executives, industry groups and others that he announced Tuesday as part of a hastily formed outside advisory council devoted to the issue.
Advisers said the effort was aimed at buildi… [+9063 chars]",24
"Credit Reporting Agencies are resisting pressure to pause credit score downgrades for millions of Americans forced into unemployment by the government's response to the coronavirus pandemic
Consumer groups and some lawmakers have warned that unless the agenc… [+9292 chars]",25
"In the most severe cases of COVID-19, a patients lungs become so inflamed and full of fluid that they no longer deliver enough oxygen to the bloodstream to keep that person alive. One way to counteract this is by using a ventilator, which helps the patients l… [+13252 chars]",26
RAND,27
"New Chinese export restrictions have left American companies U.S.-bound face masks, test kits and other medical equipment urgently needed to fight the coronavirus stranded, according to businesses and U.S. diplomatic memos.
Large quantities of critical prote… [+82 chars]",28
"The House of Representatives will take up the coronavirus stimulus bill on Friday. Nicholas Wu discuss the final hurdle before the bill becomes law.
USA TODAY
You might have some extra money coming from the U.S. government this spring. 
The U.S. Senate app… [+2998 chars]",29
"WASHINGTONPresident Trump is planning to outline Thursday new federal guidelines for opening up the country in a bid to limit the mounting economic fallout from the coronavirus outbreak.
The president is expected to announce a plan during an evening White Ho… [+256 chars]",30
"We answer the often searched question: ""What are the symptoms of coronavirus versus the flu?""
USA TODAY
What will ""normal"" be like after coronavirus? Experts imagine a different world.
The coming weeks hold plenty of uncertainty as the world reels from the… [+6291 chars]",31
"SINGAPORE — At around 4 p.m. on March 26, a Thursday, I got a text message from the yoga studio where I moonlight as a part-time instructor. A student who’d been in one of my classes a week earlier had tested positive for the coronavirus. Be prepared to be qu… [+12892 chars]",32
"Posted 
April 17, 2020 02:59:18
The coronavirus pandemic forces more than 20 million Americans to seek unemployment benefits, while tentative projections indicate millions could become infected in Africa.
This story will be updated regularly throughout Fri… [+7496 chars]",33
