,0,1
0,johnson-care,0.04456
1,thehill,0.04212
2,live,0.0454
3,pandemic,0.04763
4,"trump, governor",0.04368
5,china,0.04066
6,"trump, calls",0.0408
7,death,0.04586
8,"trump, report",0.03946
9,world,0.0433
10,"testing, due",0.04284
11,"testing, hit",0.03855
12,relief-stimulus,0.04446
13,business,0.04135
14,"reopening, dr",0.04187
15,fight,0.03822
16,easter-ease,0.04041
17,outbreak,0.04298
18,warns-virus,0.04186
19,lockdown,0.03965
20,workers,0.03887
21,protests,0.04041
22,reopening-minister,0.03454
23,infections-restrictions,0.04054
