Topics,Probability
johnson-care,0.04456
thehill,0.04212
live,0.0454
pandemic,0.04763
"trump, governor",0.04368
china,0.04066
"trump, calls",0.0408
death,0.04586
"trump, report",0.03946
world,0.0433
"testing, due",0.04284
"testing, hit",0.03855
relief-stimulus,0.04446
business,0.04135
"reopening, dr",0.04187
fight,0.03822
easter-ease,0.04041
outbreak,0.04298
warns-virus,0.04186
lockdown,0.03965
workers,0.03887
protests,0.04041
reopening-minister,0.03454
infections-restrictions,0.04054
